tag,slice,n,found,recall,recall_any_class
M_yolov8n-cbam_baseline_s123,size:<12,993,76,0.0765,0.0765
M_yolov8n-cbam_baseline_s123,size:12-20,1149,702,0.6110,0.6110
M_yolov8n-cbam_baseline_s123,size:20-32,1748,1616,0.9245,0.9245
M_yolov8n-cbam_baseline_s123,size:32+,277,268,0.9675,0.9675
M_yolov8n-cbam_baseline_s123,occ:OCCLUDED,395,353,0.8937,
M_yolov8n-cbam_baseline_s123,occ:LIGHT,47,35,0.7447,
M_yolov8n-cbam_baseline_s123,occ:BYPASSED,239,236,0.9874,
M_yolov8n-cbam_baseline_s123,occ:AMBIGUOUS,500,433,0.8660,
M_yolov8n-cbam_baseline_s123,class:rc_car,2329,1611,0.6917,
M_yolov8n-cbam_baseline_s123,class:atv_sherp,927,517,0.5577,
M_yolov8n-cbam_baseline_s123,class:truck_peterbilt,911,534,0.5862,
M_yolov8n-cbam_baseline_s123,pred_budget,2659,3352,1.2606,0.25
M_yolov8n-cbam_baseline_s42,size:<12,993,60,0.0604,0.0604
M_yolov8n-cbam_baseline_s42,size:12-20,1149,710,0.6179,0.6188
M_yolov8n-cbam_baseline_s42,size:20-32,1748,1626,0.9302,0.9302
M_yolov8n-cbam_baseline_s42,size:32+,277,269,0.9711,0.9711
M_yolov8n-cbam_baseline_s42,occ:OCCLUDED,395,339,0.8582,
M_yolov8n-cbam_baseline_s42,occ:LIGHT,47,35,0.7447,
M_yolov8n-cbam_baseline_s42,occ:BYPASSED,239,236,0.9874,
M_yolov8n-cbam_baseline_s42,occ:AMBIGUOUS,500,421,0.8420,
M_yolov8n-cbam_baseline_s42,class:rc_car,2329,1611,0.6917,
M_yolov8n-cbam_baseline_s42,class:atv_sherp,927,512,0.5523,
M_yolov8n-cbam_baseline_s42,class:truck_peterbilt,911,542,0.5950,
M_yolov8n-cbam_baseline_s456,size:<12,993,65,0.0655,0.0655
M_yolov8n-cbam_baseline_s456,size:12-20,1149,698,0.6075,0.6084
M_yolov8n-cbam_baseline_s456,size:20-32,1748,1611,0.9216,0.9216
M_yolov8n-cbam_baseline_s456,size:32+,277,260,0.9386,0.9386
M_yolov8n-cbam_baseline_s456,occ:OCCLUDED,395,348,0.8810,
M_yolov8n-cbam_baseline_s456,occ:LIGHT,47,33,0.7021,
M_yolov8n-cbam_baseline_s456,occ:BYPASSED,239,237,0.9916,
M_yolov8n-cbam_baseline_s456,occ:AMBIGUOUS,500,426,0.8520,
M_yolov8n-cbam_baseline_s456,class:rc_car,2329,1603,0.6883,
M_yolov8n-cbam_baseline_s456,class:atv_sherp,927,504,0.5437,
M_yolov8n-cbam_baseline_s456,class:truck_peterbilt,911,527,0.5785,
M_yolov8n-p2-cbam_baseline_s123,size:<12,993,105,0.1057,0.1057
M_yolov8n-p2-cbam_baseline_s123,size:12-20,1149,737,0.6414,0.6432
M_yolov8n-p2-cbam_baseline_s123,size:20-32,1748,1619,0.9262,0.9262
M_yolov8n-p2-cbam_baseline_s123,size:32+,277,269,0.9711,0.9711
M_yolov8n-p2-cbam_baseline_s123,occ:OCCLUDED,395,346,0.8759,
M_yolov8n-p2-cbam_baseline_s123,occ:LIGHT,47,33,0.7021,
M_yolov8n-p2-cbam_baseline_s123,occ:BYPASSED,239,237,0.9916,
M_yolov8n-p2-cbam_baseline_s123,occ:AMBIGUOUS,500,425,0.8500,
M_yolov8n-p2-cbam_baseline_s123,class:rc_car,2329,1634,0.7016,
M_yolov8n-p2-cbam_baseline_s123,class:atv_sherp,927,591,0.6375,
M_yolov8n-p2-cbam_baseline_s123,class:truck_peterbilt,911,505,0.5543,
M_yolov8n-p2-cbam_baseline_s42,size:<12,993,87,0.0876,0.0876
M_yolov8n-p2-cbam_baseline_s42,size:12-20,1149,763,0.6641,0.6649
M_yolov8n-p2-cbam_baseline_s42,size:20-32,1748,1637,0.9365,0.9365
M_yolov8n-p2-cbam_baseline_s42,size:32+,277,268,0.9675,0.9675
M_yolov8n-p2-cbam_baseline_s42,occ:OCCLUDED,395,352,0.8911,
M_yolov8n-p2-cbam_baseline_s42,occ:LIGHT,47,34,0.7234,
M_yolov8n-p2-cbam_baseline_s42,occ:BYPASSED,239,237,0.9916,
M_yolov8n-p2-cbam_baseline_s42,occ:AMBIGUOUS,500,444,0.8880,
M_yolov8n-p2-cbam_baseline_s42,class:rc_car,2329,1642,0.7050,
M_yolov8n-p2-cbam_baseline_s42,class:atv_sherp,927,544,0.5868,
M_yolov8n-p2-cbam_baseline_s42,class:truck_peterbilt,911,569,0.6246,
M_yolov8n-p2-cbam_baseline_s456,size:<12,993,74,0.0745,0.0745
M_yolov8n-p2-cbam_baseline_s456,size:12-20,1149,724,0.6301,0.6310
M_yolov8n-p2-cbam_baseline_s456,size:20-32,1748,1615,0.9239,0.9239
M_yolov8n-p2-cbam_baseline_s456,size:32+,277,258,0.9314,0.9314
M_yolov8n-p2-cbam_baseline_s456,occ:OCCLUDED,395,318,0.8051,
M_yolov8n-p2-cbam_baseline_s456,occ:LIGHT,47,34,0.7234,
M_yolov8n-p2-cbam_baseline_s456,occ:BYPASSED,239,236,0.9874,
M_yolov8n-p2-cbam_baseline_s456,occ:AMBIGUOUS,500,432,0.8640,
M_yolov8n-p2-cbam_baseline_s456,class:rc_car,2329,1638,0.7033,
M_yolov8n-p2-cbam_baseline_s456,class:atv_sherp,927,502,0.5415,
M_yolov8n-p2-cbam_baseline_s456,class:truck_peterbilt,911,531,0.5829,
M_yolov8n-p2_baseline_s123,size:<12,993,104,0.1047,0.1047
M_yolov8n-p2_baseline_s123,size:12-20,1149,809,0.7041,0.7041
M_yolov8n-p2_baseline_s123,size:20-32,1748,1595,0.9125,0.9130
M_yolov8n-p2_baseline_s123,size:32+,277,253,0.9134,0.9134
M_yolov8n-p2_baseline_s123,occ:OCCLUDED,395,359,0.9089,
M_yolov8n-p2_baseline_s123,occ:LIGHT,47,36,0.7660,
M_yolov8n-p2_baseline_s123,occ:BYPASSED,239,236,0.9874,
M_yolov8n-p2_baseline_s123,occ:AMBIGUOUS,500,432,0.8640,
M_yolov8n-p2_baseline_s123,class:rc_car,2329,1633,0.7012,
M_yolov8n-p2_baseline_s123,class:atv_sherp,927,530,0.5717,
M_yolov8n-p2_baseline_s123,class:truck_peterbilt,911,598,0.6564,
M_yolov8n-p2_baseline_s42,size:<12,993,78,0.0785,0.0796
M_yolov8n-p2_baseline_s42,size:12-20,1149,746,0.6493,0.6501
M_yolov8n-p2_baseline_s42,size:20-32,1748,1623,0.9285,0.9285
M_yolov8n-p2_baseline_s42,size:32+,277,264,0.9531,0.9531
M_yolov8n-p2_baseline_s42,occ:OCCLUDED,395,347,0.8785,
M_yolov8n-p2_baseline_s42,occ:LIGHT,47,34,0.7234,
M_yolov8n-p2_baseline_s42,occ:BYPASSED,239,237,0.9916,
M_yolov8n-p2_baseline_s42,occ:AMBIGUOUS,500,428,0.8560,
M_yolov8n-p2_baseline_s42,class:rc_car,2329,1635,0.7020,
M_yolov8n-p2_baseline_s42,class:atv_sherp,927,536,0.5782,
M_yolov8n-p2_baseline_s42,class:truck_peterbilt,911,540,0.5928,
M_yolov8n-p2_baseline_s456,size:<12,993,74,0.0745,0.0755
M_yolov8n-p2_baseline_s456,size:12-20,1149,770,0.6701,0.6728
M_yolov8n-p2_baseline_s456,size:20-32,1748,1573,0.8999,0.9033
M_yolov8n-p2_baseline_s456,size:32+,277,258,0.9314,0.9314
M_yolov8n-p2_baseline_s456,occ:OCCLUDED,395,324,0.8203,
M_yolov8n-p2_baseline_s456,occ:LIGHT,47,34,0.7234,
M_yolov8n-p2_baseline_s456,occ:BYPASSED,239,237,0.9916,
M_yolov8n-p2_baseline_s456,occ:AMBIGUOUS,500,424,0.8480,
M_yolov8n-p2_baseline_s456,class:rc_car,2329,1601,0.6874,
M_yolov8n-p2_baseline_s456,class:atv_sherp,927,521,0.5620,
M_yolov8n-p2_baseline_s456,class:truck_peterbilt,911,553,0.6070,
